epoch;acc;loss;val_acc;val_loss
0;0.10755;2.375499459838867;0.11138613861386139;2.3025191026945713
0;0.1626;2.205378489685059;0.30074257425742573;1.827575408192751
1;0.3275;1.7802520233154298;0.5503300327082278;1.4131416011564801
2;0.45595;1.4352044206619263;0.6753300333967304;0.9774791458652358
3;0.5654;1.1364457015991212;0.7037953797346688;0.9482867084320622
4;0.67085;0.8840780548095704;0.8811881195987412;0.47327876445090417
5;0.75435;0.6923854476928711;0.9306930685200707;0.3015924725595481
0;0.805;0.5628319818496704;0.9570957101611021;0.21236918704344496
1;0.8455;0.4519266561508179;0.941006600266636;0.23419402643005446
0;0.84715;0.4488674220561981;0.9707095699735208;0.1542262607085036
1;0.8732;0.36382374114990235;0.9678217815880729;0.16185295134291003
0;0.1069;2.330214849853516;0.10891089111369828;2.301284625585323
1;0.11005;2.3031022735595705;0.11509900992557948;2.301720114824402
2;0.1093;2.3003171043396;0.1093234323678237;2.300772197962594
3;0.1116;2.300438190078735;0.10891089111369828;2.300882848575957
4;0.1113;2.3005761497497557;0.10891089111369828;2.3007211795341065
0;0.10585;2.3930825843811037;0.10313531360512126;2.3009010093046887
1;0.1071;2.302191483306885;0.10891089111369828;2.3007768089621767
2;0.11105;2.3013809494018553;0.10891089111369828;2.300709365618111
0;0.18165;2.16621890335083;0.35354785488383605;1.7704866420317797
1;0.2706;1.904150493621826;0.3551980195069077;1.6217284245852983
2;0.326;1.7382489177703857;0.33292079257099544;1.8092356031090513
3;0.3872;1.552650958633423;0.3131188119795456;2.6612914411148223
4;0.47005;1.3385286560058594;0.5792079219723693;1.1294987658069473
0;0.82955;0.5785150135755539;0.9096534645596747;0.28871177653274915
1;0.98835;0.05223445556461811;0.9884488460647785;0.049148694639748865
2;0.99555;0.02084672958701849;0.9781353133346381;0.0710028747815897
3;0.99645;0.013546390299499035;0.9834983502284135;0.05575068072468141
4;0.9996;0.0034658384943380954;0.9946369640897996;0.02027210778258618
0;0.29245;1.881087066268921;0.5482673263392432;1.2608265463668522
1;0.6951;0.8195737682342529;0.8894389435009594;0.34112904960959656
2;0.88135;0.343112368619442;0.9636963706205387;0.12751941663203853
3;0.94045;0.18108515169024467;0.9801980188184052;0.0683260310699444
4;0.9644;0.11382902985811233;0.9764851479247065;0.07145268029899093
